Date,Open,High,Low,Close,Volume
2010-07-26 00:00:00+05:30,142.4277980606216,143.60590127963818,141.24968183222737,142.10226440429688,11298100
2010-07-27 00:00:00+05:30,141.88521557060824,143.77640145358163,139.2422048851439,143.2648468017578,22837809
2010-07-28 00:00:00+05:30,143.38890534117414,143.4664022109804,139.90106485287464,140.88540649414062,11353760
2010-07-29 00:00:00+05:30,139.82355331635466,144.4740029091724,139.5600223321247,143.9624481201172,27850388
2010-07-30 00:00:00+05:30,143.69893978454098,144.39650271697337,139.5135361711875,140.27310180664062,13123495
2010-08-02 00:00:00+05:30,141.3736966684775,146.00865201993886,141.2186899237089,145.6443634033203,35178759
2010-08-03 00:00:00+05:30,146.3961439249048,149.74447072607788,146.17912153877558,149.12440490722656,36030291
2010-08-04 00:00:00+05:30,149.28722541670072,150.82961735035298,148.3571328989499,150.24830627441406,24579956
2010-08-05 00:00:00+05:30,150.82961060004232,150.82961060004232,147.67505757617738,148.10134887695312,16833531
2010-08-06 00:00:00+05:30,148.03931751906325,149.27943624400365,146.10937665522997,147.2332305908203,19349913
2010-08-09 00:00:00+05:30,147.1092433485391,152.22473859772106,147.1092433485391,151.93020629882812,26036059
2010-08-10 00:00:00+05:30,151.47286693997907,154.2398825516985,149.84521222830568,153.29429626464844,32136478
2010-08-11 00:00:00+05:30,151.93022590605037,154.86001607675254,149.23296537270747,150.65135192871094,24126129
2010-08-12 00:00:00+05:30,149.43445420285082,153.1548236671086,148.34935511535997,149.32594299316406,27957517
2010-08-13 00:00:00+05:30,150.3490695982106,152.65879360072435,149.32596007289175,151.35665893554688,18807717
2010-08-16 00:00:00+05:30,151.44964908369278,152.06970194892116,147.74478703066933,148.36485290527344,17307295
2010-08-17 00:00:00+05:30,148.42688319364498,150.33356367147485,147.65181046327731,148.64390563964844,17407340
2010-08-18 00:00:00+05:30,149.1244315113347,151.44966248513495,147.43477364422878,150.0390167236328,18024050
2010-08-19 00:00:00+05:30,150.6823386518012,157.47975144447136,150.6823386518012,157.03021240234375,31322681
2010-08-20 00:00:00+05:30,155.87531288512372,156.55738140616788,153.71285554713288,154.0848846435547,13829926
2010-08-23 00:00:00+05:30,154.00740440023813,157.60374242732678,152.68977573166526,156.79766845703125,21478556
2010-08-24 00:00:00+05:30,155.94509539376836,158.73537262862325,154.70497651473633,155.27853393554688,20445177
2010-08-25 00:00:00+05:30,153.96868408480955,155.61184674813927,152.1705016576029,152.581298828125,21110166
2010-08-26 00:00:00+05:30,152.6897876193889,154.2399329928082,151.31015615554531,152.4650115966797,23825681
2010-08-27 00:00:00+05:30,153.4648361687025,153.4648361687025,147.7680307014551,148.41909790039062,15228587
2010-08-30 00:00:00+05:30,149.8840099982974,152.06196181661946,148.5276263476953,150.0390167236328,9860900
2010-08-31 00:00:00+05:30,149.12445446072203,152.1472486871644,148.814427952963,151.55819702148438,16651382
2010-09-01 00:00:00+05:30,151.96897533282575,155.43356793251903,151.96897533282575,154.2399444580078,23069332
2010-09-02 00:00:00+05:30,155.5110718999727,156.30165185940652,154.31746138034043,155.6195831298828,13626541
2010-09-03 00:00:00+05:30,155.63504430117305,156.55738297806013,154.11590054089584,155.1699981689453,10505940
2010-09-06 00:00:00+05:30,155.1700019086515,162.45570747664328,155.1700019086515,161.1303253173828,26211993
2010-09-07 00:00:00+05:30,161.2155880737941,162.63397425191957,160.1537368371305,160.99856567382812,20394539
2010-09-08 00:00:00+05:30,159.6731786798336,161.40934481755497,158.7043314970789,159.29339599609375,14453131
2010-09-09 00:00:00+05:30,160.44827420348966,163.38581751307478,159.99098159813087,162.7967529296875,19452207
